Ethnicity,Ethnicity_type,Time,Time_type,Georgraphy,Geography_type,Gender,Gender type,Age,Age Bracket Type,Highest qualification held,Qualification_type,Value,Value_type,Numerator,Denominator,upper 95%,lower 95%
Asian or Asian British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,75.2%,%,70883,94262,82.9%,67.5%
Black or Black British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,68.7%,%,33760,49134,81.0%,56.4%
Other,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,71.5%,%,134219,187590,77.4%,65.7%
Unreported,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,77.0%,%,1486482,1929900,78.0%,76.1%
White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,86.3%,%,990856,1147903,87.3%,85.3%
Mixed,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,82.3%,%,139150,169132,87.1%,77.4%
Black or Black British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,82.7%,%,54073,65417,91.0%,74.3%
Other,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,84.9%,%,70967,83575,91.8%,78.0%
Other than White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,82.7%,%,273459,330468,86.3%,79.2%
Unreported,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,85.5%,%,1266405,1480826,86.4%,84.6%
White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,54.4%,%,687271,1264465,55.7%,53.0%
Mixed,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,67.2%,%,114464,170398,73.2%,61.1%
Black or Black British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,53.5%,%,31171,58234,65.0%,42.1%
Other,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,58.9%,%,33370,56664,70.6%,47.2%
Other than White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,62.0%,%,186937,301747,66.7%,57.2%
Unreported,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,55.8%,%,874367,1567721,57.0%,54.5%
White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,62.7%,%,28527,45531,69.8%,55.5%
Mixed,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Black or Black British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Unreported,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,60.6%,%,31530,51999,67.4%,53.8%
White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,83.4%,%,13449936,16119634,83.7%,83.1%
Mixed,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,79.9%,%,177712,222372,84.8%,75.0%
Asian or Asian British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,83.8%,%,1133660,1352390,85.6%,82.1%
Black or Black British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,77.9%,%,443144,568549,81.1%,74.8%
Other,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,81.3%,%,348022,427992,84.8%,77.9%
Other than White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,81.8%,%,2102538,2571303,83.1%,80.4%
Unreported,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,83.2%,%,15560768,18701645,83.5%,82.9%
White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,85.3%,%,5923961,6943590,85.7%,84.9%
Mixed,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,82.8%,%,101304,122312,88.8%,76.9%
Asian or Asian British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,74.0%,%,464101,626905,77.0%,71.1%
Black or Black British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,81.6%,%,278127,340644,85.4%,77.9%
Other,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,73.7%,%,184951,250966,78.6%,68.8%
Other than White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,76.7%,%,1028483,1340827,78.7%,74.7%
Unreported,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,83.9%,%,6956514,8289033,84.3%,83.5%
White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,80.6%,%,2081549.5,2581368,81.4%,79.9%
Mixed,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,74.4%,%,21845.5,29359.5,87.9%,61.0%
Asian or Asian British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,58.7%,%,82343.5,140210.5,65.8%,51.7%
Black or Black British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,73.5%,%,65306.5,88854,81.8%,65.2%
Other,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,57.9%,%,22579,38988,71.8%,44.1%
Other than White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,64.6%,%,192074.5,297412,69.4%,59.8%
Unreported,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,79.0%,%,2273863,2879516,79.7%,78.2%
White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,71.8%,%,2024962.5,2818516,72.7%,71.0%
Mixed,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,66.0%,%,24214.5,36666.5,79.0%,53.1%
Asian or Asian British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,51.9%,%,74280.5,143093.5,58.8%,45.0%
Black or Black British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,62.8%,%,52440.5,83479,72.3%,53.4%
Other,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,57.3%,%,166943.5,291172,62.3%,52.4%
Unreported,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,70.5%,%,2192987,3111385,71.3%,69.7%
White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,64.6%,%,1090088,1687379,65.7%,63.5%
Mixed,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,43.3%,%,38963,90027,51.6%,35.0%
Black or Black British,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,64.9%,%,30038,46317,77.4%,52.3%
Other,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,51.5%,%,91011,176578,57.8%,45.3%
Unreported,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,63.4%,%,1181283,1864208,64.4%,62.3%
White,ONS 5+1,2019,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,71.6%,%,576589,805692,73.1%,70.0%
